Year,Quarter,Confidence,Industry VAR %
2000,Q1,95,4.12
2000,Q1,99,6.15
2000,Q2,95,4.2024
2000,Q2,99,6.273
2000,Q3,95,4.41252
2000,Q3,99,6.58665
2000,Q4,95,4.4566452
2000,Q4,99,6.6525165
2001,Q1,95,4.144680036
2001,Q1,99,6.186840345
2001,Q2,95,3.97889283456
2001,Q2,99,5.9393667312
2001,Q3,95,4.0982596195968
2001,Q3,99,6.117547733136
2001,Q4,95,4.34415519677261
2001,Q4,99,6.48460059712416
2002,Q1,95,4.25727209283716
2002,Q1,99,6.35490858518168
2002,Q2,95,4.47013569747901
2002,Q2,99,6.67265401444076
2002,Q3,95,4.11252484168069
2002,Q3,99,6.1388416932855
2002,Q4,95,4.19477533851431
2002,Q4,99,6.26161852715121
2003,Q1,95,3.94308881820345
2003,Q1,99,5.88592141552214
2003,Q2,95,4.14024325911362
2003,Q2,99,6.18021748629825
2003,Q3,95,4.18164569170476
2003,Q3,99,6.24201966116123
2003,Q4,95,4.09801277787066
2003,Q4,99,6.117179267938
2004,Q1,95,4.22095316120678
2004,Q1,99,6.30069464597614
2004,Q2,95,4.26316269281885
2004,Q2,99,6.36370159243591
2004,Q3,95,4.47632082745979
2004,Q3,99,6.6818866720577
2004,Q4,95,4.342031202636
2004,Q4,99,6.48143007189597
2005,Q1,95,4.25519057858328
2005,Q1,99,6.35180147045805
2005,Q2,95,4.21263867279744
2005,Q2,99,6.28828345575347
2005,Q3,95,4.29689144625339
2005,Q3,99,6.41404912486854
2005,Q4,95,4.46876710410353
2005,Q4,99,6.67061108986328
2006,Q1,95,4.42407943306249
2006,Q1,99,6.60390497896465
2006,Q2,95,4.51256102172374
2006,Q2,99,6.73598307854394
2006,Q3,95,5.05406834433059
2006,Q3,99,7.54430104796922
2006,Q4,95,5.00352766088729
2006,Q4,99,7.46885803748952
2007,Q1,95,5.05356293749616
2007,Q1,99,7.54354661786442
2007,Q2,95,5.35677671374593
2007,Q2,99,7.99615941493628
2007,Q3,95,5.35677671374593
2007,Q3,99,7.99615941493628
2007,Q4,95,5.19607341233355
2007,Q4,99,7.7562746324882
2008,Q1,95,4.93626974171687
2008,Q1,99,7.36846090086379
2008,Q2,95,5.03499513655121
2008,Q2,99,7.51583011888106
2008,Q3,95,5.18604499064775
2008,Q3,99,7.74130502244749
2008,Q4,95,4.87488229120888
2008,Q4,99,7.27682672110064
2009,Q1,95,5.06987758285724
2009,Q1,99,7.56789978994467
2009,Q2,95,5.12057635868581
2009,Q2,99,7.64357878784411
2009,Q3,95,5.0181648315121
2009,Q3,99,7.49070721208723
2009,Q4,95,4.86761988656673
2009,Q4,99,7.26598599572461
2010,Q1,95,4.9162960854324
2010,Q1,99,7.33864585568186
2010,Q2,95,4.67048128116078
2010,Q2,99,6.97171356289777
2010,Q3,95,4.57707165553756
2010,Q3,99,6.83227929163981
2010,Q4,95,4.76015452175907
2010,Q4,99,7.1055704633054
2011,Q1,95,4.71255297654148
2011,Q1,99,7.03451475867235
2011,Q2,95,4.4769253277144
2011,Q2,99,6.68278902073873
2011,Q3,95,4.29784831460583
2011,Q3,99,6.41547745990918
2011,Q4,95,4.34082679775188
2011,Q4,99,6.47963223450827
2012,Q1,95,4.47105160168444
2012,Q1,99,6.67402120154352
2012,Q2,95,4.51576211770129
2012,Q2,99,6.74076141355896
2012,Q3,95,4.38028925417025
2012,Q3,99,6.53853857115219
2012,Q4,95,4.29268346908684
2012,Q4,99,6.40776779972915
2013,Q1,95,4.24975663439597
2013,Q1,99,6.34369012173185
2013,Q2,95,4.41974689977181
2013,Q2,99,6.59743772660113
2013,Q3,95,4.46394436876953
2013,Q3,99,6.66341210386714
2013,Q4,95,4.46394436876953
2013,Q4,99,6.66341210386714
2014,Q1,95,4.59786269983262
2014,Q1,99,6.86331446698315
2014,Q2,95,4.68981995382927
2014,Q2,99,7.00058075632282
2014,Q3,95,4.59602355475268
2014,Q3,99,6.86056914119636
2014,Q4,95,4.55006331920516
2014,Q4,99,6.7919634497844
2015,Q1,95,4.59556395239721
2015,Q1,99,6.85988308428224
2015,Q2,95,4.59556395239721
2015,Q2,99,6.85988308428224
2015,Q3,95,4.50365267334926
2015,Q3,99,6.7226854225966
2015,Q4,95,4.36854309314879
2015,Q4,99,6.5210048599187
2016,Q1,95,4.58697024780623
2016,Q1,99,6.84705510291463
