,month,price
0,1/1/1990,63 
1,2/1/1990,67 
2,3/1/1990,75 
3,4/1/1990,75 
4,5/1/1990,73 
5,6/1/1990,70 
6,7/1/1990,68 
7,8/1/1990,74 
8,9/1/1990,76 
9,10/1/1990,74 
10,11/1/1990,70 
11,12/1/1990,73 
12,1/1/1991,69 
13,2/1/1991,71 
14,3/1/1991,72 
15,4/1/1991,71 
16,5/1/1991,67 
17,6/1/1991,66 
18,7/1/1991,64 
19,8/1/1991,63 
20,9/1/1991,67 
21,10/1/1991,63 
22,11/1/1991,64 
23,12/1/1991,63 
24,1/1/1992,61 
25,2/1/1992,56 
26,3/1/1992,56 
27,4/1/1992,54 
28,5/1/1992,49 
29,6/1/1992,48 
30,7/1/1992,49 
31,8/1/1992,46 
32,9/1/1992,47 
33,10/1/1992,53 
34,11/1/1992,57 
35,12/1/1992,64 
36,1/1/1993,58 
37,2/1/1993,57 
38,3/1/1993,55 
39,4/1/1993,51 
40,5/1/1993,54 
41,6/1/1993,55 
42,7/1/1993,61 
43,8/1/1993,68 
44,9/1/1993,72 
45,10/1/1993,68 
46,11/1/1993,70 
47,12/1/1993,72 
48,1/1/1994,69 
49,2/1/1994,72 
50,3/1/1994,76 
51,4/1/1994,81 
52,5/1/1994,108 
53,6/1/1994,128 
54,7/1/1994,191 
55,8/1/1994,182 
56,9/1/1994,202 
57,10/1/1994,186 
58,11/1/1994,168 
59,12/1/1994,149 
60,1/1/1995,152 
61,2/1/1995,152 
62,3/1/1995,163 
63,4/1/1995,160 
64,5/1/1995,156 
65,6/1/1995,142 
66,7/1/1995,133 
67,8/1/1995,142 
68,9/1/1995,125 
69,10/1/1995,120 
70,11/1/1995,118 
71,12/1/1995,100 
72,1/1/1996,100 
73,2/1/1996,111 
74,3/1/1996,106 
75,4/1/1996,107 
76,5/1/1996,110 
77,6/1/1996,106 
78,7/1/1996,100 
79,8/1/1996,103 
80,9/1/1996,97 
81,10/1/1996,99 
82,11/1/1996,97 
83,12/1/1996,90 
84,1/1/1997,100 
85,2/1/1997,122 
86,3/1/1997,137 
87,4/1/1997,142 
88,5/1/1997,180 
89,6/1/1997,155 
90,7/1/1997,135 
91,8/1/1997,133 
92,9/1/1997,133 
93,10/1/1997,121 
94,11/1/1997,118 
95,12/1/1997,130 
96,1/1/1998,131 
97,2/1/1998,131 
98,3/1/1998,120 
99,4/1/1998,120 
100,5/1/1998,114 
101,6/1/1998,104 
102,7/1/1998,97 
103,8/1/1998,101 
104,9/1/1998,96 
105,10/1/1998,95 
106,11/1/1998,98 
107,12/1/1998,101 
108,1/1/1999,98 
109,2/1/1999,92 
110,3/1/1999,89 
111,4/1/1999,86 
112,5/1/1999,90 
113,6/1/1999,86 
114,7/1/1999,78 
115,8/1/1999,77 
116,9/1/1999,72 
117,10/1/1999,76 
118,11/1/1999,88 
119,12/1/1999,96 
120,1/1/2000,82 
121,2/1/2000,76 
122,3/1/2000,73 
123,4/1/2000,70 
124,5/1/2000,69 
125,6/1/2000,65 
126,7/1/2000,64 
127,8/1/2000,58 
128,9/1/2000,57 
129,10/1/2000,56 
130,11/1/2000,52 
131,12/1/2000,48 
132,1/1/2001,49 
133,2/1/2001,49 
134,3/1/2001,49 
135,4/1/2001,47 
136,5/1/2001,49 
137,6/1/2001,47 
138,7/1/2001,43 
139,8/1/2001,43 
140,9/1/2001,41 
141,10/1/2001,42 
142,11/1/2001,44 
143,12/1/2001,43 
144,1/1/2002,43 
145,2/1/2002,44 
146,3/1/2002,49 
147,4/1/2002,50 
148,5/1/2002,47 
149,6/1/2002,46 
150,7/1/2002,45 
151,8/1/2002,43 
152,9/1/2002,48 
153,10/1/2002,51 
154,11/1/2002,55 
155,12/1/2002,52 
156,1/1/2003,54 
157,2/1/2003,54 
158,3/1/2003,50 
159,4/1/2003,52 
160,5/1/2003,53 
161,6/1/2003,49 
162,7/1/2003,51 
163,8/1/2003,52 
164,9/1/2003,54 
165,10/1/2003,52 
166,11/1/2003,50 
167,12/1/2003,52 
168,1/1/2004,59 
169,2/1/2004,60 
170,3/1/2004,61 
171,4/1/2004,59 
172,5/1/2004,60 
173,6/1/2004,64 
174,7/1/2004,58 
175,8/1/2004,57 
176,9/1/2004,61 
177,10/1/2004,61 
178,11/1/2004,68 
179,12/1/2004,78 
180,1/1/2005,79 
181,2/1/2005,89 
182,3/1/2005,101 
183,4/1/2005,98 
184,5/1/2005,100 
185,6/1/2005,96 
186,7/1/2005,88 
187,8/1/2005,85 
188,9/1/2005,79 
189,10/1/2005,83 
190,11/1/2005,86 
191,12/1/2005,87 
192,1/1/2006,101 
193,2/1/2006,97 
194,3/1/2006,93 
195,4/1/2006,94 
196,5/1/2006,90 
197,6/1/2006,86 
198,7/1/2006,89 
199,8/1/2006,96 
200,9/1/2006,96 
201,10/1/2006,96 
202,11/1/2006,103 
203,12/1/2006,108 
204,1/1/2007,106 
205,2/1/2007,104 
206,3/1/2007,100 
207,4/1/2007,99 
208,5/1/2007,100 
209,6/1/2007,107 
210,7/1/2007,106 
211,8/1/2007,108 
212,9/1/2007,113 
213,10/1/2007,116 
214,11/1/2007,114 
215,12/1/2007,118 
216,1/1/2008,122 
217,2/1/2008,139 
218,3/1/2008,136 
219,4/1/2008,127 
220,5/1/2008,127 
221,6/1/2008,131 
222,7/1/2008,133 
223,8/1/2008,131 
224,9/1/2008,127 
225,10/1/2008,108 
226,11/1/2008,108 
227,12/1/2008,103 
228,1/1/2009,108 
229,2/1/2009,108 
230,3/1/2009,106 
231,4/1/2009,112 
232,5/1/2009,123 
233,6/1/2009,119 
234,7/1/2009,113 
235,8/1/2009,117 
236,9/1/2009,116 
237,10/1/2009,121 
238,11/1/2009,120 
239,12/1/2009,125 
240,1/1/2010,127 
241,2/1/2010,123 
242,3/1/2010,125 
243,4/1/2010,127 
244,5/1/2010,128 
245,6/1/2010,142 
246,7/1/2010,153 
247,8/1/2010,157 
248,9/1/2010,164 
249,10/1/2010,162 
250,11/1/2010,174 
251,12/1/2010,184 
252,1/1/2011,197 
253,2/1/2011,216 
254,3/1/2011,224
